raw_name,canonical_name,category,description,caution,embedding
shrimp powder,새우,,새우 유래 원료를 묶는 표준 개념,,
Krill,크릴,,크릴 유래 원료를 묶는 표준 개념,,
남극크릴,크릴,,크릴 유래 원료를 묶는 표준 개념,,
오징어,오징어,,오징어 유래 원료를 묶는 표준 개념,,
오징어분말,오징어,,오징어 유래 원료를 묶는 표준 개념,,
squid powder,오징어,,오징어 유래 원료를 묶는 표준 개념,,
게분,게,,게 유래 원료를 묶는 표준 개념,,
크랩,게,,게 유래 원료를 묶는 표준 개념,,
유도단백질,유도단백질,,원료 동물 종이 특정되지 않은 가수분해·효소처리 단백질,,
효소처리단백질,유도단백질,,원료 동물 종이 특정되지 않은 가수분해·효소처리 단백질,,
육분,육분,,동물 종이 특정되지 않은 육류 분말 원료,,
육류분말,육분,,동물 종이 특정되지 않은 육류 분말 원료,,
meat powder,육분,,동물 종이 특정되지 않은 육류 분말 원료,,
Meat and Bone Meal,육골분,,육류와 뼈에서 유래한 동물성 원료,,
육골가루,육골분,,육류와 뼈에서 유래한 동물성 원료,,
혈장단백,혈장단백,,동물 혈장에서 유래한 단백질 원료,,
혈장분말,혈장단백,,동물 혈장에서 유래한 단백질 원료,,
animal plasma protein,혈장단백,,동물 혈장에서 유래한 단백질 원료,,
훼이,유장,,우유 가공 과정에서 얻는 유장 원료,,
유청분말,유장,,우유 가공 과정에서 얻는 유장 원료,,
유당,유당,,우유에서 유래한 당 성분,,
밀크슈가,유당,,우유에서 유래한 당 성분,,
Milk Powder,분유,,분말 형태의 우유 가공 원료,,
우유분말,분유,,분말 형태의 우유 가공 원료,,
skim milk powder,분유,,분말 형태의 우유 가공 원료,,
치즈밀,치즈,,치즈와 치즈 가공 원료,,
cheese powder,치즈,,치즈와 치즈 가공 원료,,
계유,닭기름,,닭에서 유래한 지방 원료,,
치킨오일,닭기름,,닭에서 유래한 지방 원료,,
돼지기름,돼지기름,,돼지에서 유래한 지방 원료,,
돼지지방,돼지기름,,돼지에서 유래한 지방 원료,,
porcine fat,돼지기름,,돼지에서 유래한 지방 원료,,
Beef Tallow,소기름,,소에서 유래한 지방 원료,,
비프팻,소기름,,소에서 유래한 지방 원료,,
tallow,소기름,,소에서 유래한 지방 원료,,
어류기름,어유,,어류에서 유래한 지방 원료,,
marine oil,어유,,어류에서 유래한 지방 원료,,
오리지방,오리기름,,오리에서 유래한 지방 원료,,
duck oil,오리기름,,오리에서 유래한 지방 원료,,
연맥,귀리,,귀리 곡물과 1차 가공 표현을 묶는 표준 개념,,
귀리가루,귀리,,귀리 곡물과 1차 가공 표현을 묶는 표준 개념,,
oatmeal,귀리,,귀리 곡물과 1차 가공 표현을 묶는 표준 개념,,
Wheat,밀,,밀 곡물과 분말 가공 표현을 묶는 표준 개념,,
소맥분,밀,,밀 곡물과 분말 가공 표현을 묶는 표준 개념,,
wheat meal,밀,,밀 곡물과 분말 가공 표현을 묶는 표준 개념,,
대맥,보리,,보리 곡물과 1차 가공 표현을 묶는 표준 개념,,
barley flour,보리,,보리 곡물과 1차 가공 표현을 묶는 표준 개념,,
Sorghum,수수,,수수 곡물과 분말 표현을 묶는 표준 개념,,
소검,수수,,수수 곡물과 분말 표현을 묶는 표준 개념,,
쌀,쌀,,쌀과 쌀 1차 가공 표현을 묶는 표준 개념,,
백미,쌀,,쌀과 쌀 1차 가공 표현을 묶는 표준 개념,,
미분,쌀,,쌀과 쌀 1차 가공 표현을 묶는 표준 개념,,
ground rice,쌀,,쌀과 쌀 1차 가공 표현을 묶는 표준 개념,,
Corn,옥수수,,옥수수와 분말 가공 표현을 묶는 표준 개념,,
콘,옥수수,,옥수수와 분말 가공 표현을 묶는 표준 개념,,
corn meal,옥수수,,옥수수와 분말 가공 표현을 묶는 표준 개념,,
Rye,호밀,,호밀과 분말 가공 표현을 묶는 표준 개념,,
호밀분,호밀,,호밀과 분말 가공 표현을 묶는 표준 개념,,
대두,대두,,대두와 일반적인 콩·소이 표현을 묶는 표준 개념,,
대두콩,대두,,대두와 일반적인 콩·소이 표현을 묶는 표준 개념,,
soy,대두,,대두와 일반적인 콩·소이 표현을 묶는 표준 개념,,
Pea,완두,,완두와 완두 유래 원료를 묶는 표준 개념,,
피프로틴,완두,,완두와 완두 유래 원료를 묶는 표준 개념,,
렌즈콩,렌즈콩,,렌즈콩과 렌틸 표현을 묶는 표준 개념,,
렌틸,렌즈콩,,렌즈콩과 렌틸 표현을 묶는 표준 개념,,
lentil flour,렌즈콩,,렌즈콩과 렌틸 표현을 묶는 표준 개념,,
병아리콩,이집트콩,,이집트콩과 병아리콩 표현을 묶는 표준 개념,,
garbanzo bean,이집트콩,,이집트콩과 병아리콩 표현을 묶는 표준 개념,,
감자분말,감자,,감자와 감자 분말 표현을 묶는 표준 개념,,
potato flour,감자,,감자와 감자 분말 표현을 묶는 표준 개념,,
Sweet Potato,고구마,,고구마와 분말 표현을 묶는 표준 개념,,
스위트포테이토,고구마,,고구마와 분말 표현을 묶는 표준 개념,,
카사바,카사바,,카사바와 매니옥·타피오카 표현을 묶는 표준 개념,,
타피오카,카사바,,카사바와 매니옥·타피오카 표현을 묶는 표준 개념,,
tapioca,카사바,,카사바와 매니옥·타피오카 표현을 묶는 표준 개념,,
Soybean Meal,대두박,,대두 가공 후 얻는 단백질성 박류 원료,,
대두단백박,대두박,,대두 가공 후 얻는 단백질성 박류 원료,,
밀글루텐,밀글루텐,,밀에서 분리한 글루텐 단백질 원료,,
밀단백,밀글루텐,,밀에서 분리한 글루텐 단백질 원료,,
gluten,밀글루텐,,밀에서 분리한 글루텐 단백질 원료,,
콘글루텐,옥수수글루텐,,옥수수에서 유래한 글루텐 단백질 원료,,
corn gluten meal,옥수수글루텐,,옥수수에서 유래한 글루텐 단백질 원료,,
Rice Bran,쌀겨,,쌀 도정 과정에서 얻는 겨 원료,,
라이스브랜,쌀겨,,쌀 도정 과정에서 얻는 겨 원료,,
Wheat Bran,밀기울,,밀 가공 과정에서 얻는 기울 원료,,
휘트브랜,밀기울,,밀 가공 과정에서 얻는 기울 원료,,
Beet Pulp,사탕무박,,사탕무 가공 후 얻는 섬유질 원료,,
비트박,사탕무박,,사탕무 가공 후 얻는 섬유질 원료,,
셀룰로오스,셀룰로오스,,식물성 섬유 또는 결착 목적으로 표시되는 셀룰로오스,,
식물성셀룰로스,셀룰로오스,,식물성 섬유 또는 결착 목적으로 표시되는 셀룰로오스,,
plant cellulose,셀룰로오스,,식물성 섬유 또는 결착 목적으로 표시되는 셀룰로오스,,
차전자피식이섬유,차전자피,,차전자피에서 유래한 식이섬유 원료,,
psyllium,차전자피,,차전자피에서 유래한 식이섬유 원료,,
Alfalfa,알팔파,,알팔파 목초와 가공 형태를 묶는 표준 개념,,
알팔파펠릿,알팔파,,알팔파 목초와 가공 형태를 묶는 표준 개념,,
아마인,아마인,,아마 종실 원료,,
플랙스시드,아마인,,아마 종실 원료,,
ground flaxseed,아마인,,아마 종실 원료,,
해바라기종자,해바라기씨,,해바라기 종실 원료,,
sunflower kernels,해바라기씨,,해바라기 종실 원료,,
호마,참깨,,참깨 종실 원료,,
세서미,참깨,,참깨 종실 원료,,
코코넛,코코넛,,코코넛 또는 야자 과실 원료,,
코코넛분말,코코넛,,코코넛 또는 야자 과실 원료,,
coconut flour,코코넛,,코코넛 또는 야자 과실 원료,,
애플,사과,,사과 과실과 건조·분말 표현을 묶는 표준 개념,,
건조사과,사과,,사과 과실과 건조·분말 표현을 묶는 표준 개념,,
블루베리,블루베리,,블루베리 과실 원료,,
건조블루베리,블루베리,,블루베리 과실 원료,,
바나나,바나나,,바나나 과실 원료,,
건조바나나,바나나,,바나나 과실 원료,,
당근,당근,,당근 채소 원료,,
건조당근,당근,,당근 채소 원료,,
dried carrot,당근,,당근 채소 원료,,
호박분말,호박,,호박 채소 원료,,
pumpkin powder,호박,,호박 채소 원료,,
Chicory,치커리,,치커리 뿌리 원료,,
치커리근,치커리,,치커리 뿌리 원료,,
다시마,다시마,,다시마 해조 원료,,
다시마분말,다시마,,다시마 해조 원료,,
kelp meal,다시마,,다시마 해조 원료,,
Sea Mustard,미역,,미역 해조 원료,,
wakame,미역,,미역 해조 원료,,
Spirulina,스피루리나,,스피루리나 미세조류 원료,,
스피룰리나분말,스피루리나,,스피루리나 미세조류 원료,,
Soybean Oil,대두유,,대두에서 유래한 식물성 유지,,
소이오일,대두유,,대두에서 유래한 식물성 유지,,
미강유,미강유,,쌀겨에서 유래한 식물성 유지,,
라이스브랜오일,미강유,,쌀겨에서 유래한 식물성 유지,,
Flaxseed Oil,아마인유,,아마인에서 유래한 식물성 유지,,
린시드오일,아마인유,,아마인에서 유래한 식물성 유지,,
옥수수유,옥수수유,,옥수수에서 유래한 식물성 유지,,
콘오일,옥수수유,,옥수수에서 유래한 식물성 유지,,
Canola Oil,카놀라유,,유채 종자에서 유래한 식물성 유지,,
캐놀라오일,카놀라유,,유채 종자에서 유래한 식물성 유지,,
Sunflower Oil,해바라기유,,해바라기씨에서 유래한 식물성 유지,,
sunflower seed oil,해바라기유,,해바라기씨에서 유래한 식물성 유지,,
구아껌,구아검,,천연 결착제로 분류된 구아검,,
젤라틴,젤라틴,,동물 유래 가능성이 있으나 원료 종이 특정되지 않은 결착제,,
동물성젤라틴,젤라틴,,동물 유래 가능성이 있으나 원료 종이 특정되지 않은 결착제,,
Lecithin,레시틴,,유화제로 분류된 레시틴; 원료 출처가 표시된 경우 별도 비교 필요,,
대두레시틴,레시틴,,유화제로 분류된 레시틴; 원료 출처가 표시된 경우 별도 비교 필요,,
구연산,구연산,,산미제로 분류된 구연산,,
구연산분말,구연산,,산미제로 분류된 구연산,,
Potassium Sorbate,소르빈산칼륨,,보존 목적으로 사용하는 소르빈산 칼륨염,,
안식향산나트륨,안식향산나트륨,,보존 목적으로 사용하는 안식향산 나트륨염,,
소듐벤조에이트,안식향산나트륨,,보존 목적으로 사용하는 안식향산 나트륨염,,
부틸히드록시아니솔,부틸하이드록시아니솔,,항산화제로 분류된 성분,,
BHT,부틸하이드록시톨루엔,,항산화제로 분류된 성분,,
비타민E,비타민E,,비타민 E와 토코페롤 표시를 묶는 표준 개념,,
dl-알파-토코페롤,비타민E,,비타민 E와 토코페롤 표시를 묶는 표준 개념,,
DL-메티오닌,DL-메티오닌,,아미노산제로 분류된 DL-메티오닌,,
디엘메티오닌,DL-메티오닌,,아미노산제로 분류된 DL-메티오닌,,
L-라이신,L-라이신,,아미노산제로 분류된 L-라이신,,
라이신,L-라이신,,아미노산제로 분류된 L-라이신,,
타우린,타우린,,아미노산제로 분류된 타우린,,
L-카르니틴,L-카르니틴,,비타민제 범위에 포함된 L-카르니틴,,
카르니틴,L-카르니틴,,비타민제 범위에 포함된 L-카르니틴,,
Vitamin A,비타민A,,비타민 A와 레티놀 표시를 묶는 표준 개념,,
레티놀분말,비타민A,,비타민 A와 레티놀 표시를 묶는 표준 개념,,
비타민B1,비타민B1,,비타민 B1과 티아민 표시를 묶는 표준 개념,,
치아민,비타민B1,,비타민 B1과 티아민 표시를 묶는 표준 개념,,
Vitamin B2,비타민B2,,비타민 B2와 리보플라빈 표시를 묶는 표준 개념,,
비타민B6,비타민B6,,비타민 B6와 피리독신 표시를 묶는 표준 개념,,
피리독신염산염,비타민B6,,비타민 B6와 피리독신 표시를 묶는 표준 개념,,
비타민B12,비타민B12,,비타민 B12와 시아노코발라민 표시를 묶는 표준 개념,,
cyanocobalamin,비타민B12,,비타민 B12와 시아노코발라민 표시를 묶는 표준 개념,,
아스코르빈산,비타민C,,비타민 C와 아스코르빈산 표시를 묶는 표준 개념,,
L-ascorbic acid,비타민C,,비타민 C와 아스코르빈산 표시를 묶는 표준 개념,,
콜레칼시페롤,비타민D3,,비타민 D3와 콜레칼시페롤 표시를 묶는 표준 개념,,
Vitamin K1,비타민K1,,비타민 K1과 파일로퀴논 표시를 묶는 표준 개념,,
phylloquinone,비타민K1,,비타민 K1과 파일로퀴논 표시를 묶는 표준 개념,,
콜린클로라이드,염화콜린,,비타민제 범위에 포함된 염화콜린,,
폴산,엽산,,엽산과 비타민 B9 표시를 묶는 표준 개념,,
vitamin B9,엽산,,엽산과 비타민 B9 표시를 묶는 표준 개념,,
비타민H,비오틴,,비오틴과 비타민 H 표시를 묶는 표준 개념,,
vitamin B7,비오틴,,비오틴과 비타민 H 표시를 묶는 표준 개념,,
나이아신,니아신,,니아신과 니코틴산 표시를 묶는 표준 개념,,
nicotinic acid,니아신,,니아신과 니코틴산 표시를 묶는 표준 개념,,
Lactobacillus acidophilus,락토바실러스 애시도필러스,,유익균으로 분류된 미생물 원료,,
락토바실러스 아시도필러스,락토바실러스 애시도필러스,,유익균으로 분류된 미생물 원료,,
Yeast,효모,,여러 유익효모 표시를 묶는 일반 검색 개념,,
제빵효모,효모,,여러 유익효모 표시를 묶는 일반 검색 개념,,
brewer's yeast,효모,,여러 유익효모 표시를 묶는 일반 검색 개념,,
천연착향료,천연착향료,,구체적인 원료 출처가 표시되지 않은 천연 착향료,,
천연향료,천연착향료,,구체적인 원료 출처가 표시되지 않은 천연 착향료,,
natural flavoring,천연착향료,,구체적인 원료 출처가 표시되지 않은 천연 착향료,,
제오라이트,제올라이트,,규산염제로 분류된 광물성 원료,,
Marigold Extract,금잔화추출물,,금잔화 또는 마리골드에서 얻는 추출 원료; 금진화는 OCR 보정 후보,,
금진화추출물,금잔화추출물,,금잔화 또는 마리골드에서 얻는 추출 원료; 금진화는 OCR 보정 후보,,
프락토올리고당,프락토올리고당,,올리고당으로 분류된 프락토올리고당,,
프룩토올리고당,프락토올리고당,,올리고당으로 분류된 프락토올리고당,,
