id,ingredient_id,standard_name,alias_name,description,embedding
26,2,소고기,비프팻,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
27,2,소고기,tallow,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
28,2,소고기,우육,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
29,2,소고기,소고기분,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
30,2,소고기,소지방,"소 유래 육류, 분말 및 지방 원료를 묶는 PetCheck 알러지 분류",
31,3,돼지고기,돼지고기,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
32,3,돼지고기,돼지,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
33,3,돼지고기,돼지기름,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
34,3,돼지고기,Pork,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
35,3,돼지고기,돼지분말,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
36,3,돼지고기,pork meat,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
37,3,돼지고기,돼지지방,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
38,3,돼지고기,porcine fat,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
39,3,돼지고기,돈육,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
40,3,돼지고기,돈육분,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
41,3,돼지고기,돼지고기분,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
42,3,돼지고기,돼지간,"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
43,3,돼지고기,천연향료(돼지간),"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
44,3,돼지고기,천연향료 (돼지간),"돼지 유래 육류, 분말, 간 및 지방 원료를 묶는 PetCheck 알러지 분류",
45,4,밀,밀,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
46,4,밀,밀글루텐,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
47,4,밀,밀기울,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
48,4,밀,Wheat,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
49,4,밀,소맥분,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
50,4,밀,wheat meal,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
51,4,밀,밀단백,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
52,4,밀,gluten,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
53,4,밀,Wheat Bran,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
54,4,밀,휘트브랜,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
55,4,밀,소맥,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
56,4,밀,밀가루,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
57,4,밀,밀분,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
58,4,밀,밀글루텐박,"밀 유래 곡물, 분말, 글루텐, 단백질 및 기울 원료를 묶는 PetCheck 알러지 분류",
59,5,옥수수,옥수수,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
60,5,옥수수,옥수수글루텐,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
61,5,옥수수,옥수수유,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
62,5,옥수수,Corn,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
63,5,옥수수,콘,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
64,5,옥수수,corn meal,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
65,5,옥수수,콘글루텐,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
66,5,옥수수,corn gluten meal,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
67,5,옥수수,콘오일,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
68,5,옥수수,통옥수수,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
69,5,옥수수,옥수수가루,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
70,5,옥수수,옥수수분,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
71,5,옥수수,옥수수글루텐박,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
72,5,옥수수,콘글루텐밀,"옥수수 유래 곡물, 분말, 글루텐 및 오일 원료를 묶는 PetCheck 알러지 분류",
73,6,우유,우유,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
74,6,우유,유장,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
75,6,우유,유당,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
76,6,우유,분유,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
77,6,우유,치즈,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
78,6,우유,훼이,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
79,6,우유,유청분말,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
80,6,우유,밀크슈가,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
81,6,우유,Milk Powder,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
82,6,우유,우유분말,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
83,6,우유,skim milk powder,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
84,6,우유,치즈밀,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
85,6,우유,cheese powder,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
86,6,우유,유청,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
87,6,우유,웨이,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
88,6,우유,탈지분유,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
89,6,우유,유단백,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
90,6,우유,우유단백,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
91,6,우유,카제인,"유장, 유청, 유당, 분유, 치즈 등 우유 유래 원료를 묶는 PetCheck 알러지 분류",
92,7,계란,계란,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
93,7,계란,난황,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
94,7,계란,전란분,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
95,7,계란,whole egg,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
96,7,계란,난백,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
97,7,계란,난백분,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
98,7,계란,계란분말,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
99,7,계란,달걀,"계란, 난황, 난백 및 전란분 등 계란 유래 원료를 묶는 PetCheck 알러지 분류",
100,8,생선,생선,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
101,8,생선,어류,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
102,8,생선,연어,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
103,8,생선,어분,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
104,8,생선,어유,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
105,8,생선,생선살,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
106,8,생선,fish meat,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
107,8,생선,Salmon,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
108,8,생선,연어분,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
109,8,생선,salmon meat,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
110,8,생선,생선가루,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
111,8,생선,fish powder,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
112,8,생선,어류기름,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
113,8,생선,marine oil,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
114,8,생선,생선분,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
115,8,생선,어류분,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
116,8,생선,생선기름,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
117,8,생선,피쉬밀,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
118,8,생선,fish meal,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
119,8,생선,fish oil,"어류, 연어, 어분 및 어유 등 생선 유래 원료를 묶는 PetCheck 알러지 분류",
